,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,location
0,Shared room,Amsterdam,De Pijp / Rivierenbuurt,7,4.5,2,1.0,156.0,52.356209,4.887491000000001,0101000020E610000033FAD170CA8C13403BC5AA41982D4A40
1,Shared room,Amsterdam,Centrum West,45,4.5,4,1.0,126.0,52.378518,4.89612,0101000020E6100000842A357BA095134042791F4773304A40
2,Shared room,Amsterdam,Watergraafsmeer,1,0.0,3,1.0,132.0,52.338811,4.943592,0101000020E6100000A51133FB3CC613403543AA285E2B4A40
3,Shared room,Amsterdam,Centrum West,7,5.0,4,1.0,121.0,52.376319,4.890028,0101000020E6100000DF180280638F134085EE92382B304A40
4,Shared room,Amsterdam,De Baarsjes / Oud West,1,0.0,2,1.0,93.0,52.370384,4.852873000000001,0101000020E6100000CD902A8A57691340187B2FBE682F4A40
5,Shared room,Amsterdam,De Pijp / Rivierenbuurt,184,4.5,2,1.0,102.0,52.342265000000005,4.897126,0101000020E6100000B090B932A896134060C8EA56CF2B4A40
6,Shared room,Amsterdam,Oostelijk Havengebied / Indische Buurt,67,5.0,16,1.0,462.0,52.377552,4.930418,0101000020E61000005D70067FBFB813400B45BA9F53304A40
7,Shared room,Amsterdam,Westerpark,2,0.0,2,1.0,414.0,52.375205,4.866117,0101000020E6100000DD09F65FE7761340D925AAB706304A40
8,Shared room,Amsterdam,Oud Oost,2,0.0,2,1.0,222.0,52.357346,4.9128870000000004,0101000020E610000032C687D9CBA613409FAD8383BD2D4A40
9,Shared room,Amsterdam,Centrum West,0,0.0,12,1.0,301.0,52.38661,4.890128,0101000020E6100000FB03E5B67D8F13403D27BD6F7C314A40
10,Shared room,Amsterdam,De Pijp / Rivierenbuurt,26,5.0,4,1.0,246.0,52.342445,4.89695,0101000020E6100000BC96900F7A961340E0D6DD3CD52B4A40
11,Shared room,Amsterdam,Centrum Oost,10,4.5,4,1.0,198.0,52.366271000000005,4.896251,0101000020E6100000790778D2C2951340923CD7F7E12E4A40
12,Shared room,Amsterdam,Centrum Oost,0,0.0,2,1.0,180.0,52.36056,4.888896,0101000020E61000004D2EC6C03A8E1340751F80D4262E4A40
13,Shared room,Amsterdam,De Baarsjes / Oud West,1,0.0,2,1.0,180.0,52.358221,4.85681,0101000020E6100000058BC3995F6D1340C6DE8B2FDA2D4A40
14,Shared room,Amsterdam,Oostelijk Havengebied / Indische Buurt,15,4.0,4,1.0,48.0,52.378351,4.94113,0101000020E61000004F232D95B7C3134057B439CE6D304A40
15,Shared room,Amsterdam,Oostelijk Havengebied / Indische Buurt,2,0.0,1,1.0,42.0,52.365477,4.937313,0101000020E61000006C76A4FACEBF1340583849F3C72E4A40
