,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,location
0,Shared room,Nairobi,Nairobi,0,0.0,3,1.0,45.0,-1.2677049999999999,36.765277000000005,0101000020E6100000C4B0C398F4614240639CBF098548F4BF
1,Shared room,Nairobi,Nairobi,0,0.0,3,1.0,45.0,-1.267733,36.766698,0101000020E61000004DF4F92823624240A1F5F065A248F4BF
2,Shared room,Nairobi,Nairobi,0,0.0,3,1.0,60.0,-1.263079,36.795796,0101000020E6100000D124B1A4DC654240EB3A54539235F4BF
3,Shared room,Nairobi,Nairobi,1,0.0,3,1.0,60.0,-1.296785,36.778003999999996,0101000020E61000001F1494A2956342400118CFA0A1BFF4BF
4,Shared room,Nairobi,Nairobi,0,0.0,2,1.0,60.0,-1.255794,36.7526,0101000020E61000001C7C61325560424059350873BB17F4BF
5,Shared room,Nairobi,Nairobi,0,0.0,12,1.0,50.0,-1.304575,36.856575,0101000020E61000001DC9E53FA46D424001DE02098ADFF4BF
6,Shared room,Nairobi,Nairobi,0,0.0,2,1.0,45.0,-1.2932270000000001,36.878368,0101000020E61000002DEDD45C6E704240F8DD74CB0EB1F4BF
7,Shared room,Nairobi,Nairobi,0,0.0,2,1.0,10.0,-1.2913299999999999,36.768755,0101000020E610000078D1579066624240B77F65A549A9F4BF
8,Shared room,Nairobi,Nairobi,0,0.0,2,1.0,10.0,-1.28321,36.897028999999996,0101000020E61000002448A5D8D17242400E677E350788F4BF
9,Shared room,Nairobi,Nairobi,0,0.0,1,1.0,40.0,-1.28823,36.786852,0101000020E61000006765FB90B7644240069E7B0F979CF4BF
10,Shared room,Nairobi,Nairobi,0,0.0,2,1.0,34.0,-1.280924,36.816065,0101000020E6100000833463D17468424085950A2AAA7EF4BF
11,Shared room,Nairobi,Nairobi,0,0.0,2,1.0,10.0,-1.319224,36.847065,0101000020E61000000A4B3CA06C6C4240A79201A08A1BF5BF
12,Shared room,Nairobi,Nairobi,0,0.0,2,1.0,10.0,-1.262892,36.880181,0101000020E6100000C1C760C5A97042409C14E63DCE34F4BF
13,Shared room,Nairobi,Nairobi,0,0.0,8,1.0,35.0,-1.313918,36.697965,0101000020E61000005760C8EA56594240FB027AE1CE05F5BF
14,Shared room,Nairobi,Nairobi,0,0.0,2,1.0,40.0,-1.295039,36.776188,0101000020E610000019C6DD205A63424074B680D07AB8F4BF
15,Shared room,Nairobi,Nairobi,0,0.0,3,1.0,25.0,-1.28426,36.892206,0101000020E6100000C2A563CE33724240B1F9B836548CF4BF
16,Shared room,Nairobi,Nairobi,0,0.0,12,1.0,28.0,-1.28053,36.817778999999994,0101000020E6100000842D76FBAC68424005C078060D7DF4BF
