,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,location
0,Shared room,San Francisco,North Beach,93,4.5,4,1.0,147.0,37.799263,-122.404322,0101000020E610000069C36169E0995EC091F3FE3F4EE64240
1,Shared room,San Francisco,North Beach,115,4.5,4,1.0,137.0,37.79892,-122.40408500000001,0101000020E610000077F35487DC995EC0670FB40243E64240
2,Shared room,San Francisco,Downtown/Civic Center,4,5.0,2,1.0,145.0,37.785847,-122.416518,0101000020E6100000800C1D3BA89A5EC071546EA296E44240
3,Shared room,San Francisco,Downtown/Civic Center,8,4.0,14,1.0,138.0,37.782078999999996,-122.421775,0101000020E61000004ED1915CFE9A5EC0B7F1272A1BE44240
4,Shared room,San Francisco,Financial District,125,4.5,4,1.0,90.0,37.79441,-122.404725,0101000020E6100000E9B7AF03E7995EC0C4CE143AAFE54240
5,Shared room,San Francisco,Financial District,78,4.5,4,1.0,90.0,37.793125,-122.40442900000001,0101000020E610000074232C2AE2995EC0EC51B81E85E54240
6,Shared room,San Francisco,Financial District,83,4.5,4,1.0,90.0,37.792597,-122.40339499999999,0101000020E6100000AD174339D1995EC030F488D173E54240
7,Shared room,San Francisco,North Beach,47,5.0,4,1.0,95.0,37.79909,-122.40631499999999,0101000020E6100000F437A110019A5EC0C347C49448E64240
8,Shared room,San Francisco,North Beach,59,4.5,4,1.0,90.0,37.799257,-122.40476399999999,0101000020E610000048A643A7E7995EC0AE0CAA0D4EE64240
9,Shared room,San Francisco,North Beach,83,4.5,4,1.0,90.0,37.79845,-122.404776,0101000020E61000002A8D98D9E7995EC0E0BE0E9C33E64240
10,Shared room,San Francisco,North Beach,87,4.5,4,1.0,90.0,37.799333000000004,-122.40628600000001,0101000020E6100000A6B4FE96009A5EC089CE328B50E64240
11,Shared room,San Francisco,Financial District,26,4.5,4,1.0,90.0,37.793044,-122.40323799999999,0101000020E610000049A0C1A6CE995EC0FF243E7782E54240
12,Shared room,San Francisco,North Beach,158,4.5,4,1.0,90.0,37.799382,-122.40548700000001,0101000020E610000000FDBE7FF3995EC06B813D2652E64240
13,Shared room,San Francisco,Western Addition,90,5.0,4,1.0,95.0,37.782553,-122.44393600000001,0101000020E610000017618A72699C5EC07F315BB22AE44240
14,Shared room,San Francisco,North Beach,129,4.5,4,1.0,90.0,37.798939000000004,-122.405961,0101000020E6100000E59CD843FB995EC0DD3F16A243E64240
15,Shared room,San Francisco,Financial District,0,0.0,2,1.0,41.0,37.792234,-122.39399099999999,0101000020E6100000C6FA062637995EC0BF6378EC67E54240
16,Shared room,San Francisco,South of Market,0,0.0,3,1.0,42.0,37.780509,-122.393418,0101000020E610000018EAB0C22D995EC0E99D0AB8E7E34240
17,Shared room,San Francisco,Western Addition,0,0.0,1,1.0,400.0,37.770644,-122.436452,0101000020E610000086915ED4EE9B5EC0E76D6C76A4E24240
18,Shared room,San Francisco,Pacific Heights,1,0.0,3,1.0,250.0,37.796174,-122.431614,0101000020E6100000BA9F53909F9B5EC077F69507E9E54240
19,Shared room,San Francisco,Pacific Heights,1,0.0,1,1.0,250.0,37.794576,-122.426172,0101000020E6100000239EEC66469B5EC0DF1797AAB4E54240
20,Shared room,San Francisco,Mission,1,0.0,2,1.0,300.0,37.768049,-122.42568999999999,0101000020E6100000FE0E45813E9B5EC0DD5CFC6D4FE24240
21,Shared room,San Francisco,Potrero Hill,0,0.0,2,1.0,200.0,37.761796999999994,-122.39813600000001,0101000020E61000000ED76A0F7B995EC07098689082E14240
22,Shared room,San Francisco,Downtown/Civic Center,0,0.0,2,1.0,200.0,37.774905,-122.420798,0101000020E6100000390EBC5AEE9A5EC0E140481630E34240
23,Shared room,San Francisco,Outer Richmond,0,0.0,2,1.0,200.0,37.782934000000004,-122.478551,0101000020E6100000F59D5F94A09E5EC096766A2E37E44240
24,Shared room,San Francisco,Western Addition,0,0.0,2,1.0,150.0,37.778794,-122.436682,0101000020E61000001F300F99F29B5EC017299485AFE34240
25,Shared room,San Francisco,Bayview,0,0.0,1,1.0,150.0,37.738795,-122.40218,0101000020E6100000BDC62E51BD995EC063B9A5D590DE4240
26,Shared room,San Francisco,South of Market,0,0.0,1,1.0,150.0,37.778736,-122.410273,0101000020E6100000A35BAFE9419A5EC0E31B0A9FADE34240
27,Shared room,San Francisco,Outer Richmond,0,0.0,1,1.0,150.0,37.776502,-122.480226,0101000020E6100000172CD505BC9E5EC0A9A3E36A64E34240
28,Shared room,San Francisco,Nob Hill,16,5.0,3,1.0,159.0,37.789729,-122.412503,0101000020E61000001FA0FB72669A5EC0F5D901D715E54240
29,Shared room,San Francisco,Inner Richmond,1,0.0,1,1.0,150.0,37.773817,-122.469664,0101000020E6100000F20698F90E9E5EC05F0B7A6F0CE34240
30,Shared room,San Francisco,South of Market,0,0.0,1,1.0,175.0,37.780513,-122.397095,0101000020E6100000ED9925016A995EC02A8D98D9E7E34240
31,Shared room,San Francisco,Western Addition,0,0.0,2,1.0,160.0,37.774644,-122.43263400000001,0101000020E6100000CF488446B09B5EC07505DB8827E34240
32,Shared room,San Francisco,Ocean View,4,4.0,5,1.0,169.0,37.70994,-122.46803500000001,0101000020E610000089981249F49D5EC0A60F5D50DFDA4240
33,Shared room,San Francisco,South of Market,14,5.0,1,1.0,155.0,37.779889000000004,-122.40288100000001,0101000020E610000081CB63CDC8995EC04CC11A67D3E34240
34,Shared room,San Francisco,South of Market,4,5.0,2,1.0,139.0,37.781626,-122.391006,0101000020E61000008CA2073E06995EC006DA1D520CE44240
