,Unnamed: 0,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,price,location
0,0,Shared room,Amsterdam,De Pijp / Rivierenbuurt,7,4.5,2,156.0,0101000020E610000033FAD170CA8C13403BC5AA41982D4A40
1,1,Shared room,Amsterdam,Centrum West,45,4.5,4,126.0,0101000020E6100000842A357BA095134042791F4773304A40
2,2,Shared room,Amsterdam,Watergraafsmeer,1,0.0,3,132.0,0101000020E6100000A51133FB3CC613403543AA285E2B4A40
3,3,Shared room,Amsterdam,Centrum West,7,5.0,4,121.0,0101000020E6100000DF180280638F134085EE92382B304A40
4,4,Shared room,Amsterdam,De Baarsjes / Oud West,1,0.0,2,93.0,0101000020E6100000CD902A8A57691340187B2FBE682F4A40
5,5,Shared room,Amsterdam,De Pijp / Rivierenbuurt,184,4.5,2,102.0,0101000020E6100000B090B932A896134060C8EA56CF2B4A40
6,6,Shared room,Amsterdam,Oostelijk Havengebied / Indische Buurt,67,5.0,16,462.0,0101000020E61000005D70067FBFB813400B45BA9F53304A40
7,7,Shared room,Amsterdam,Westerpark,2,0.0,2,414.0,0101000020E6100000DD09F65FE7761340D925AAB706304A40
8,8,Shared room,Amsterdam,Oud Oost,2,0.0,2,222.0,0101000020E610000032C687D9CBA613409FAD8383BD2D4A40
9,9,Shared room,Amsterdam,Centrum West,0,0.0,12,301.0,0101000020E6100000FB03E5B67D8F13403D27BD6F7C314A40
10,10,Shared room,Amsterdam,De Pijp / Rivierenbuurt,26,5.0,4,246.0,0101000020E6100000BC96900F7A961340E0D6DD3CD52B4A40
11,11,Shared room,Amsterdam,Centrum Oost,10,4.5,4,198.0,0101000020E6100000790778D2C2951340923CD7F7E12E4A40
12,12,Shared room,Amsterdam,Centrum Oost,0,0.0,2,180.0,0101000020E61000004D2EC6C03A8E1340751F80D4262E4A40
13,13,Shared room,Amsterdam,De Baarsjes / Oud West,1,0.0,2,180.0,0101000020E6100000058BC3995F6D1340C6DE8B2FDA2D4A40
14,14,Shared room,Amsterdam,Oostelijk Havengebied / Indische Buurt,15,4.0,4,48.0,0101000020E61000004F232D95B7C3134057B439CE6D304A40
15,15,Shared room,Amsterdam,Oostelijk Havengebied / Indische Buurt,2,0.0,1,42.0,0101000020E61000006C76A4FACEBF1340583849F3C72E4A40
16,16,Shared room,Amsterdam,Geuzenveld / Slotermeer,3,4.0,1,45.0,0101000020E6100000A915A6EF353413408527F4FA93304A40
17,17,Shared room,Amsterdam,De Pijp / Rivierenbuurt,11,4.0,2,48.0,0101000020E6100000459E245D33991340A439B2F2CB2C4A40
18,18,Shared room,Amsterdam,Buitenveldert / Zuidas,6,5.0,2,60.0,0101000020E610000084B9DDCB7D72134052499D80262A4A40
19,19,Shared room,Amsterdam,Buitenveldert / Zuidas,6,4.5,2,48.0,0101000020E6100000B952CF82506E13404983DBDAC2294A40
20,20,Shared room,Amsterdam,Oud Noord,73,4.5,4,48.0,0101000020E6100000014F5AB8ACC21340126BF12900324A40
21,21,Shared room,Amsterdam,Westerpark,1,0.0,1,58.0,0101000020E6100000172B6A300D8313406571FF91E9304A40
22,22,Shared room,Amsterdam,De Baarsjes / Oud West,60,4.5,2,54.0,0101000020E6100000A85489B2B77413405AB91798152E4A40
23,23,Shared room,Amsterdam,De Pijp / Rivierenbuurt,1,0.0,1,60.0,0101000020E61000006CCEC133A1991340DDD0949D7E2C4A40
24,24,Shared room,Amsterdam,Bos en Lommer,9,5.0,1,54.0,0101000020E6100000658D7A8846671340CD76853E58304A40
25,25,Shared room,Amsterdam,Slotervaart,2,0.0,4,18.0,0101000020E61000005C566133C06513407F2F8507CD2E4A40
